CPU명,라인,종합_성능점수,라인_내_종합_성능_순위,순수_성능점수,라인_내_순수_성능_순위,CPU_가격,게이밍_가성비
코어i5-14400F DDR4,메인스트림,0.48281375937404075,1,0.5533877325522172,3,183910.0,1738.211926634253
코어i5-12600KF DDR4,메인스트림,0.4783439507550476,2,0.5598979227450702,1,252860.0,2385.4243526663395
코어i5-12600K DDR4,메인스트림,0.4761542181502514,3,0.5598979227450702,1,269230.0,2539.8552498155445
코어i5-14400 DDR4,메인스트림,0.47358003139319627,4,0.5533877325522172,3,252890.0,2390.17135624238
코어i5-13400F DDR4,메인스트림,0.4718857866379495,5,0.5422886983162688,6,200910.0,1911.3213267574304
코어i5-13400 DDR4,메인스트림,0.46478003120556666,6,0.5422886983162688,6,253860.0,2415.0516749322646
라이젠7 8700F (피닉스),메인스트림,0.4630013771817379,7,0.5414667959254105,8,238710.0,2338.818694799795
라이젠7 8700G ,메인스트림,0.45245961143330976,8,0.5520190150361827,5,382630.0,3709.920311714683
라이젠5 8600G,메인스트림,0.42749270496086267,9,0.49668730689567525,10,259420.0,2561.5666544016503
라이젠7 5700X,메인스트림,0.4249538399016975,10,0.4911386875649514,11,223210.0,2150.5532185837387
라이젠7 5800XT,메인스트림,0.4218584343154682,11,0.516118214139386,9,393120.0,3759.235249812163
라이젠5 8400F,메인스트림,0.40880208298633913,12,0.46623885970549817,14,205470.0,2073.5531213451045
코어i5-12400F DDR4,메인스트림,0.4085223395831105,13,0.45731220770939895,17,164980.0,1649.8
코어i5-12500 DDR4,메인스트림,0.40598254276247386,14,0.4681358937203811,13,246890.0,2465.7161238455824
라이젠5 5600XT,메인스트림,0.4058679935559235,15,0.4589276047753251,15,187920.0,1845.9103342521587
코어i5-12600 DDR4,메인스트림,0.4055246037183804,16,0.47272403054686,12,280000.0,2795.862700462459
코어i5-12400 DDR4,메인스트림,0.40092048007734743,17,0.4573159909532206,16,220560.0,2205.6
라이젠5 8500G,메인스트림,0.3998891687224323,18,0.4530417102041957,18,221340.0,2228.231022141052
라이젠5 5600T (버미어),메인스트림,0.38977546877920816,19,0.43336673023186817,19,151250.0,1512.599566767197
라이젠5 5600,메인스트림,0.38941933339718365,20,0.42976777013328155,20,132160.0,1324.3779360672709
코어i3-14100F DDR4,엔트리,0.41022729216930365,1,0.44807258824128415,1,125890.0,1248.90873015873
코어i3-14100 DDR4,엔트리,0.4033521276459261,2,0.44807258824128415,1,176290.0,1748.90873015873
코어i3-13100F DDR4,엔트리,0.4009843249808781,3,0.43703584600510903,3,126570.0,1260.8425602013256
코어i3-13100 DDR4,엔트리,0.39393533353348587,4,0.43703584600510903,3,178160.0,1774.762665129716
코어i3-12100F DDR4,엔트리,0.392090302401509,5,0.42550016528202217,5,122270.0,1222.7
코어i3-12100 DDR4,엔트리,0.3857558169414362,6,0.42550016528202217,5,168560.0,1685.6
라이젠7 5700G,엔트리,0.356542781585421,7,0.4203798357711916,7,280500.0,2939.858982779936
라이젠5 5600GT,엔트리,0.3451991091600588,8,0.3836261992253003,8,172800.0,1828.389173488626
라이젠5 5600G,엔트리,0.3380917548601956,9,0.3735889707229049,9,158730.0,1687.415846519788
라이젠5 5500GT,엔트리,0.3351156844275284,10,0.3702476021473825,10,160020.0,1704.234453719622
라이젠5 5500 (세잔),엔트리,0.32975696958213024,11,0.36224756385689244,11,146900.0,1570.1768240931228
라이젠3 5300G,엔트리,0.3070424634025997,12,0.3304639976127979,12,149330.0,1616.4958501999854
코어i3-10105F,엔트리,0.2888096432241277,13,0.3009882367864826,14,98790.0,1065.531137370753
코어i3-10100F,엔트리,0.28870808384098956,14,0.2986754683714476,15,85900.0,926.9583251231526
코어i3-10105,엔트리,0.2816197860051084,15,0.30098823678648423,13,149740.0,1615.068655834561
300 DDR4,엔트리,0.2681324034995286,16,0.2705737817788303,16,99230.0,1111.6352729487023
