GPU명,라인,유효가중치_종합,종합_성능점수,라인_내_종합_성능_순위,유효가중치_순수,순수_성능점수,라인_내_순수_성능_순위
라데온 RX 480,로우엔드,0.6000000000000001,0.07283259785830098,1,0.6000000000000001,0.07283259785830098,2
라데온 RX 470,로우엔드,0.6000000000000001,0.06643050528721565,2,0.6000000000000001,0.06643050528721565,4
지포스 GTX 1650 GDDR5,로우엔드,0.8200000000000001,0.06270786867385326,3,0.8200000000000001,0.06270786867385326,6
아크 A380,로우엔드,0.8450000000000001,0.06148661988135971,4,0.77,0.07649396328854453,1
라데온 RX 6400,로우엔드,0.8450000000000001,0.04346980323324441,5,0.77,0.06899319875630719,3
지포스 GTX 1650 GDDR6,로우엔드,0.905,0.037124941622216696,6,0.8300000000000001,0.06559973429859366,5
지포스 GTX 1050,로우엔드,0.62,0.031015695389551606,7,0.62,0.031015695389551606,8
라데온 RX 550 2GB,로우엔드,0.7000000000000001,0.007222366234794337,8,0.7000000000000001,0.007222366234794337,9
지포스 GTX 1050 Ti,로우엔드,0.6950000000000001,0.0006601477849162308,9,0.62,0.039147725418170645,7
라데온 780M (8700G iGPU),로우엔드,0.2,,999,0.2,,999
아크 A310,로우엔드,0.445,,999,0.37,,999
라데온 760M (8600G iGPU),로우엔드,0.2,,999,0.2,,999
지포스 GTX 1630,로우엔드,0.30000000000000004,,999,0.30000000000000004,,999
그래픽스 (285K iGPU),로우엔드,0.2,,999,0.2,,999
지포스 GT 1030 GDDR5,로우엔드,0.445,,999,0.37,,999
라데온 그래픽스 (9700X iGPU),로우엔드,0.2,,999,0.2,,999
UHD 그래픽스 770 (14700 iGPU),로우엔드,0.2,,999,0.2,,999
지포스 GT 1030 DDR4,로우엔드,0.445,,999,0.37,,999
지포스 RTX 2080 Ti ,상위 메인스트림,0.8500000000000001,0.3107282645904165,1,0.8500000000000001,0.3107282645904165,3
지포스 RTX 4060 Ti 16GB,상위 메인스트림,0.75,0.3063727081948165,2,0.75,0.3063727081948165,4
지포스 RTX 3070 Ti ,상위 메인스트림,0.895,0.2935552380428909,3,0.8200000000000001,0.3372667893400229,1
라데온 RX 6750 XT,상위 메인스트림,0.8200000000000001,0.29343324642255764,4,0.8200000000000001,0.29343324642255764,7
지포스 RTX 3060 Ti GDDR6X,상위 메인스트림,0.7000000000000001,0.28867888047689233,5,0.7000000000000001,0.28867888047689233,8
라데온 RX 6700 XT,상위 메인스트림,0.8200000000000001,0.2786605191685523,6,0.8200000000000001,0.2786605191685523,9
지포스 RTX 3070 ,상위 메인스트림,0.895,0.2736264115702049,7,0.8200000000000001,0.31151751127228444,2
지포스 RTX 4060 Ti 8GB,상위 메인스트림,0.895,0.2652727479935633,8,0.8200000000000001,0.3005961918931425,5
지포스 RTX 5060,상위 메인스트림,0.8250000000000001,0.2606293810430391,9,0.75,0.29442390815567265,6
지포스 RTX 3060 Ti GDDR6,상위 메인스트림,0.895,0.2397867795720239,10,0.8200000000000001,0.26787555295213056,10
지포스 RTX 2080 SUPER ,상위 메인스트림,0.8200000000000001,0.23383803493957867,11,0.8200000000000001,0.23383803493957867,13
아크 B580,상위 메인스트림,0.775,0.23190552838726103,12,0.7000000000000001,0.2625510399290505,11
라데온 RX 6700,상위 메인스트림,0.77,0.22723113794060623,13,0.77,0.22723113794060623,14
라데온 RX 7600 XT,상위 메인스트림,0.8200000000000001,0.2263898206251868,14,0.8200000000000001,0.2263898206251868,15
지포스 RTX 2080 ,상위 메인스트림,0.8500000000000001,0.22173678567058439,15,0.8500000000000001,0.22173678567058439,16
지포스 RTX 2070 SUPER ,상위 메인스트림,0.8200000000000001,0.20590814541110655,16,0.8200000000000001,0.20590814541110655,18
지포스 RTX 4060,상위 메인스트림,0.895,0.2053538050607355,17,0.8200000000000001,0.23468322910148048,12
라데온 RX 6600 XT,상위 메인스트림,0.8200000000000001,0.19415255581432891,18,0.8200000000000001,0.19415255581432891,20
라데온 RX 7600,상위 메인스트림,0.895,0.19397791966349093,19,0.8200000000000001,0.21540891434098153,17
라데온 RX 6650 XT,상위 메인스트림,0.895,0.18309143821078988,20,0.8200000000000001,0.20562921712633891,19
