GPU명,라인,종합_성능점수,유효가중치_종합,종합_성능_순위,순수_성능점수,유효가중치_순수,순수_성능_순위
지포스 RTX 5090,하이엔드,0.8340313124331791,0.8350000000000001,1,1.0,0.76,1
지포스 RTX 4090,하이엔드,0.8243402780086458,0.8400000000000001,2,0.8243402780086458,0.8400000000000001,2
지포스 RTX 4080 SUPER,하이엔드,0.652098577360477,0.8200000000000001,3,0.652098577360477,0.8200000000000001,4
지포스 RTX 4080,하이엔드,0.6421777688517595,0.8400000000000001,4,0.6421777688517595,0.8400000000000001,5
지포스 RTX 5080,하이엔드,0.6114027548171024,0.8250000000000001,5,0.705278717890678,0.75,3
지포스 RTX 4070 Ti SUPER,퍼포먼스,0.5556037470603769,0.8200000000000001,6,0.5556037470603769,0.8200000000000001,9
라데온 RX 7900 XTX,하이엔드,0.5524245139562167,0.895,7,0.621196458334321,0.8200000000000001,6
지포스 RTX 5070 Ti,하이엔드,0.5432171140605568,0.8250000000000001,8,0.6187022844732359,0.75,7
라데온 RX 7900 XT,퍼포먼스,0.5386987096014288,0.8200000000000001,9,0.5386987096014288,0.8200000000000001,10
지포스 RTX 3090 Ti,퍼포먼스,0.526948085724602,0.8300000000000001,10,0.526948085724602,0.8300000000000001,12
라데온 RX 9070 XT,하이엔드,0.5200648825012031,0.775,11,0.5930655896502306,0.7000000000000001,8
지포스 RTX 4070 Ti,퍼포먼스,0.5084739620121703,0.8400000000000001,12,0.5084739620121703,0.8400000000000001,13
지포스 RTX 4070 SUPER,퍼포먼스,0.4774592149014377,0.8200000000000001,13,0.4774592149014377,0.8200000000000001,16
지포스 RTX 3080 Ti ,퍼포먼스,0.47274502140088315,0.8200000000000001,14,0.47274502140088315,0.8200000000000001,17
라데온 RX 9070,퍼포먼스,0.4706732780293745,0.775,15,0.5352869160153154,0.7000000000000001,11
라데온 RX 6950 XT,퍼포먼스,0.45875664801849936,0.8200000000000001,16,0.45875664801849936,0.8200000000000001,18
라데온 RX 7900 GRE,퍼포먼스,0.4473086627546077,0.8200000000000001,17,0.4473086627546077,0.8200000000000001,19
지포스 RTX 3080 12GB,퍼포먼스,0.44681888849662266,0.8200000000000001,18,0.44681888849662266,0.8200000000000001,20
라데온 RX 6900 XT ,퍼포먼스,0.44571384520802576,0.8500000000000001,19,0.44571384520802576,0.8500000000000001,21
지포스 RTX 5070,퍼포먼스,0.441767332260929,0.775,20,0.5013048248682984,0.7000000000000001,14
지포스 RTX 3080 10GB,퍼포먼스,0.42053846799247485,0.8500000000000001,21,0.42053846799247485,0.8500000000000001,22
지포스 RTX 4070 GDDR6X,퍼포먼스,0.41234397289655556,0.8200000000000001,22,0.41234397289655556,0.8200000000000001,23
지포스 RTX 4070 GDDR6,퍼포먼스,0.4091861687866828,0.6000000000000001,23,0.4091861687866828,0.6000000000000001,25
라데온 RX 6800 XT,퍼포먼스,0.4005643117546221,0.8200000000000001,24,0.4005643117546221,0.8200000000000001,26
지포스 RTX 3090 ,퍼포먼스,0.3743141391045343,0.895,25,0.47973569836603286,0.8200000000000001,15
라데온 RX 7800 XT,퍼포먼스,0.3666612840006695,0.895,26,0.41203145822272885,0.8200000000000001,24
라데온 RX 6800,퍼포먼스,0.3451666386750652,0.8200000000000001,27,0.3451666386750652,0.8200000000000001,29
라데온 RX 7700 XT,퍼포먼스,0.34374883997840666,0.8200000000000001,28,0.34374883997840666,0.8200000000000001,30
지포스 RTX 5060 Ti 16GB,퍼포먼스,0.314972442786906,0.775,29,0.3632716631652905,0.7000000000000001,27
지포스 RTX 2080 Ti ,상위 메인스트림,0.3107282645904165,0.8500000000000001,30,0.3107282645904165,0.8500000000000001,33
지포스 RTX 5060 Ti 8GB,퍼포먼스,0.3073855830730519,0.775,31,0.3497654430355246,0.7000000000000001,28
지포스 RTX 4060 Ti 16GB,상위 메인스트림,0.3063727081948165,0.75,32,0.3063727081948165,0.75,34
지포스 RTX 3070 Ti ,상위 메인스트림,0.2935552380428909,0.895,33,0.3372667893400229,0.8200000000000001,31
라데온 RX 6750 XT,상위 메인스트림,0.29343324642255764,0.8200000000000001,34,0.29343324642255764,0.8200000000000001,37
지포스 RTX 3060 Ti GDDR6X,상위 메인스트림,0.28867888047689233,0.7000000000000001,35,0.28867888047689233,0.7000000000000001,38
라데온 RX 6700 XT,상위 메인스트림,0.2786605191685523,0.8200000000000001,36,0.2786605191685523,0.8200000000000001,39
지포스 RTX 3070 ,상위 메인스트림,0.2736264115702049,0.895,37,0.31151751127228444,0.8200000000000001,32
지포스 RTX 4060 Ti 8GB,상위 메인스트림,0.2652727479935633,0.895,38,0.3005961918931425,0.8200000000000001,35
지포스 RTX 5060,상위 메인스트림,0.2606293810430391,0.8250000000000001,39,0.29442390815567265,0.75,36
지포스 RTX 3060 Ti GDDR6,상위 메인스트림,0.2397867795720239,0.895,40,0.26787555295213056,0.8200000000000001,40
지포스 RTX 2080 SUPER ,상위 메인스트림,0.23383803493957867,0.8200000000000001,41,0.23383803493957867,0.8200000000000001,44
아크 B580,상위 메인스트림,0.23190552838726103,0.775,42,0.2625510399290505,0.7000000000000001,41
라데온 RX 6700,상위 메인스트림,0.22723113794060623,0.77,43,0.22723113794060623,0.77,45
라데온 RX 7600 XT,상위 메인스트림,0.2263898206251868,0.8200000000000001,44,0.2263898206251868,0.8200000000000001,46
아크 A770 8GB,하위 메인스트림,0.22459503365106379,0.6000000000000001,45,0.22459503365106379,0.6000000000000001,47
지포스 RTX 2080 ,상위 메인스트림,0.22173678567058439,0.8500000000000001,46,0.22173678567058439,0.8500000000000001,48
아크 A750,하위 메인스트림,0.20781078393803076,0.8200000000000001,47,0.20781078393803076,0.8200000000000001,51
지포스 GTX 1080 Ti,하위 메인스트림,0.20618444137113975,0.8200000000000001,48,0.20618444137113975,0.8200000000000001,52
